Abudefduf troschelii
Acanthemblemaria balanorum
Acanthemblemaria crockeri
Acanthemblemaria hastingsi
Acanthemblemaria macrospilus
Acanthurus xanthopterus
Aetobatus narinari
Alectis ciliaris
Alphestes immaculatus
Aluterus scriptus
Anisotremus davidsonii
Anisotremus interruptus
Antennarius avalonis
Antherinops affinis
Apogon pacificus
Apogon retrosella
Arothron hispidus
Arothron meleagris
Axoclinus nigricaudus
Balistes polylepis
Bodianus diplotaenia
Calamus brachysomus
Cantherhines dumerilii
Canthigaster punctatissima
Caranx caballus
Caranx caninus
Caranx sexfasciatus
Cephalopholis colonus
Cephalopholis panamensis
Chaenomugil proboscideus
Chaenopsis alepidota
Chaetodipterus zonatus
Chaetodon humeralis
Chanos chanos
Chelonia mydas
Chelonia mydas agassizii
Chilomycterus reticulatus
Chriolepis zebra
Chromis atrilobata
Chromis limbaughi
Cirrhitichthys oxycephalus
Cirrhitus rivulatus
Cirriemblemaria lucasana
Coralliozetus angelicus
Coralliozetus micropes
Coryphopterus urospilus
Cosmocampus arctus
Crocodilichthys gracilis
Dasyatis dipterura
Diodon holocanthus
Diodon hystrix
Diplobatis ommata
Doryrhamphus excisus
Echidna nebulosa
Echidna nocturna
Elagatis bipinnulata
Elops affinis
Emblemaria hypacanthus
Enchelycore octaviana
Enneanectes carminalis
Enneanectes reticulatus
Entomacrodus chiostictus
Epinephelus labriformis
Euthynnus lineatus
Exerpes asper
Fistularia commersonii
Forcipiger flavissimus
Gerres simillimus
Girella simplicidens
Gnathanodon speciosus
Gobiosoma chiquita
Gymnomuraena zebra
Gymnothorax castaneus
Gymnothorax panamensis
Haemulon flaviguttatum
Haemulon maculicauda
Haemulon sexfasciatum
Haemulon steindachneri
Halichoeres chierchiae
Halichoeres dispilus
Halichoeres melanotis
Halichoeres nicholsi
Halichoeres notospilus
Halichoeres semicinctus
Harengula thrissina
Hemiramphus saltator
Heteroconger digueti
Heteropriacanthus carolinus
Hippocampus ingens
Holacanthus passer
Hoplopagrus guentherii
Hypsoblennius brevipinnis
Hypsoblennius gentilis
Iniistius pavo
Johnrandallia nigrirostris
Kyphosus analogus
Kyphosus azureus
Kyphosus elegans
Labrisomus xanti
Liopropoma fasciatum
Lutjanus argentiventris
Lutjanus inermis
Lutjanus novemfasciatus
Lutjanus viridis
Lythrypnus dalli
Lythrypnus zebra
Malacoctenus hubbsi
Malacoctenus margaritae
Malacoctenus tetranemus
Malacoctenus zonifer
Microlepidotus inornatus
Microspathodon bairdii
Microspathodon dorsalis
Mobula birostris
Mobula munkiana
Mulloidichthys dentatus
Muraena lentiginosa
Mycteroperca jordani
Mycteroperca rosacea
Myripristis leiognathus
Narcine entemedor
Nicholsina denticulata
Novaculichthys taeniourus
Ophioblennius steindachneri
Opistognathus punctatus
Opistognathus rhomaleus
Opistognathus rosenblatti
Opistognathus scops
Ostracion meleagris
Oxycirrhites typus
Paraclinus mexicanus
Paralabrax auroguttatus
Paralabrax maculatofasciatus
Plagiotremus azaleus
Pomacanthus zonipectus
Prionurus laticlavius
Prionurus punctatus
Protemblemaria bicirrus
Pseudobalistes naufragium
Ptereleotris carinata
Pycnomma semisquamatum
Rypticus bicolor
Sarda orientalis
Sardinops sagax
Sargocentron suborbitalis
Scarus compressus
Scarus ghobban
Scarus perrico
Scarus rubroviolaceus
Scorpaena histrio
Scorpaena mystes
Scorpaenodes xyris
Selar crumenophthalmus
Seriola lalandi
Seriola rivoliana
Serranus psittacinus
Sphoeroides annulatus
Sphoeroides lispus
Sphoeroides lobatus
Sphyraena argentea
Sphyraena ensis
Sphyraena lucasana
Starksia spinipenis
Stegastes acapulcoensis
Stegastes flavilatus
Stegastes rectifraenum
Sufflamen verres
Synodus lacertinus
Thalassoma grammaticum
Thalassoma lucasanum
Tigrigobius digueti
Tigrigobius limbaughi
Tigrigobius puncticulatus
Tomicodon boehlkei
Tomicodon myersi
Trachinotus rhodopus
Uraspis helvola
Urobatis concentricus
Urobatis halleri
Urobatis maculatus
Uropterygius versutus
Xenomedea rhodopyga
Zanclus cornutus
