Sample_name,Label,Hash,nReads
043,MiFish,191a0612d8ddff9212ba6e5f412063f5e10aa0ed,8
PCRneg,MiFish,191a0612d8ddff9212ba6e5f412063f5e10aa0ed,75
104,MiFish,191a0612d8ddff9212ba6e5f412063f5e10aa0ed,75
144,MiFish,191a0612d8ddff9212ba6e5f412063f5e10aa0ed,28
184,MiFish,191a0612d8ddff9212ba6e5f412063f5e10aa0ed,51
194,MiFish,191a0612d8ddff9212ba6e5f412063f5e10aa0ed,26
089,MiFish,191a0612d8ddff9212ba6e5f412063f5e10aa0ed,48
139,MiFish,191a0612d8ddff9212ba6e5f412063f5e10aa0ed,9
033,MiFish,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,11
104,MiFish,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,50
144,MiFish,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,22
PCRneg,MiFish,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,45
184,MiFish,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,27
PCRneg,MiFish,4987ed61a49e7ac29ca047ce7bdb0f428c8e7a1a,11
PCRneg,MiFish,05beb2067aaa82c9a910070f882f49207f769988,33
104,MiFish,05beb2067aaa82c9a910070f882f49207f769988,43
184,MiFish,05beb2067aaa82c9a910070f882f49207f769988,21
PCRneg,MiFish,12b8e010c12abbe07dc7b898722ced54c96af983,2
033,MiFish,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,154693
144,MiFish,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,14542
184,MiFish,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,9
043,MiFish,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,89
139,MiFish,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,1283
104,MiFish,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,3915
144,MiFish,ded861116231893e954603362542d98d7d0cdc7f,2595
144,MiFish,2b727c93db24199728cd8aa8ca70fb81bd81fe3a,484
139,MiFish,8332fa497851d811c4c6f5d7a22bf8bb5e99cdc3,3
PCRneg,MiFish,8332fa497851d811c4c6f5d7a22bf8bb5e99cdc3,4
144,MiFish,8332fa497851d811c4c6f5d7a22bf8bb5e99cdc3,8
089,MiFish,8332fa497851d811c4c6f5d7a22bf8bb5e99cdc3,3
184,MiFish,8332fa497851d811c4c6f5d7a22bf8bb5e99cdc3,7
104,MiFish,8332fa497851d811c4c6f5d7a22bf8bb5e99cdc3,8
194,MiFish,8332fa497851d811c4c6f5d7a22bf8bb5e99cdc3,3
104,MiFish,8cee41d6b1051d7e6af4e1e85dafac7a00205ac4,3
139,MiFish,98a1484b90fa405a624f251fae5f70b37ba73adf,12
104,MiFish,98a1484b90fa405a624f251fae5f70b37ba73adf,124
194,MiFish,98a1484b90fa405a624f251fae5f70b37ba73adf,7
144,MiFish,98a1484b90fa405a624f251fae5f70b37ba73adf,39
043,MiFish,98a1484b90fa405a624f251fae5f70b37ba73adf,14
PCRneg,MiFish,98a1484b90fa405a624f251fae5f70b37ba73adf,130
089,MiFish,98a1484b90fa405a624f251fae5f70b37ba73adf,50
184,MiFish,98a1484b90fa405a624f251fae5f70b37ba73adf,69
104,MiFish,67cdd088bb558352e27cb2b5d229f838e8c11572,12
184,MiFish,67cdd088bb558352e27cb2b5d229f838e8c11572,10
144,MiFish,31026d1c0665501b8e53beadf5a3647582359b14,15
089,MiFish,31026d1c0665501b8e53beadf5a3647582359b14,18
139,MiFish,31026d1c0665501b8e53beadf5a3647582359b14,12
184,MiFish,31026d1c0665501b8e53beadf5a3647582359b14,34
043,MiFish,31026d1c0665501b8e53beadf5a3647582359b14,11
194,MiFish,31026d1c0665501b8e53beadf5a3647582359b14,10
PCRneg,MiFish,31026d1c0665501b8e53beadf5a3647582359b14,69
104,MiFish,31026d1c0665501b8e53beadf5a3647582359b14,56
104,MiFish,815465bf4218c40e60200ea518c5d7cbabd61f1c,9
139,MiFish,815465bf4218c40e60200ea518c5d7cbabd61f1c,3
PCRneg,MiFish,815465bf4218c40e60200ea518c5d7cbabd61f1c,6
104,MiFish,f968f4f6b237dc8b59640499d84f1b7a301ed54f,3
PCRneg,MiFish,f968f4f6b237dc8b59640499d84f1b7a301ed54f,5
144,MiFish,f968f4f6b237dc8b59640499d84f1b7a301ed54f,2
104,MiFish,a87543a86e1994e1779df181a1908c456de74d44,3
043,MiFish,f40cd226adc1fdf41fa19c7c2bc2a3a7579a8f74,46
089,MiFish,8ceb81fb647edd8813762480c4a35401e7722b88,2
PCRneg,MiFish,8ceb81fb647edd8813762480c4a35401e7722b88,7
144,MiFish,8ceb81fb647edd8813762480c4a35401e7722b88,3
104,MiFish,8ceb81fb647edd8813762480c4a35401e7722b88,8
139,MiFish,a4b64ddf9f726675e4c5122c8e5ab817eafe0668,117
139,MiFish,4d3109e36add08577354734af4761da885f89d23,150610
043,MiFish,4d3109e36add08577354734af4761da885f89d23,120245
043,MiFish,bfb3c407bf64f7dcd486e428be65840ddbfb1f63,37
139,MiFish,bfb3c407bf64f7dcd486e428be65840ddbfb1f63,722
139,MiFish,db9ed98662480e36319fb851b41533c9fb0b79ac,40
043,MiFish,9b0688c579f2d34292e7b3232d25da4f43ac94a6,75
139,MiFish,9b0688c579f2d34292e7b3232d25da4f43ac94a6,105
139,MiFish,a5ac4ad040cf2d9c7f8821d7b70f920736b80886,43
PCRneg,MiFish,ea7f7fb8734a160949381badc10a971d64e3bd20,3
144,MiFish,20b731fb2eae474bf51e1504029ce18a72967615,10
104,MiFish,20b731fb2eae474bf51e1504029ce18a72967615,11
089,MiFish,20b731fb2eae474bf51e1504029ce18a72967615,7
184,MiFish,20b731fb2eae474bf51e1504029ce18a72967615,6
PCRneg,MiFish,20b731fb2eae474bf51e1504029ce18a72967615,12
144,MiFish,d3a973efbba962488ffbf56a5faaec76ad1925a8,6
033,MiFish,d3a973efbba962488ffbf56a5faaec76ad1925a8,11
089,MiFish,d3a973efbba962488ffbf56a5faaec76ad1925a8,4
PCRneg,MiFish,d3a973efbba962488ffbf56a5faaec76ad1925a8,14
104,MiFish,d3a973efbba962488ffbf56a5faaec76ad1925a8,12
104,MiFish,6a04c45f4e0c319143d2fdc71be51c2dbf8ee0fd,3
PCRneg,MiFish,6a04c45f4e0c319143d2fdc71be51c2dbf8ee0fd,3
033,MiFish,2d069d6128ed64aa351b164d45bf7f6f5387f663,3
104,MiFish,2d069d6128ed64aa351b164d45bf7f6f5387f663,3
104,MiFish,36fcba838d74db83e82c4897c7bfb27b142deab8,28
139,MiFish,36fcba838d74db83e82c4897c7bfb27b142deab8,8
043,MiFish,36fcba838d74db83e82c4897c7bfb27b142deab8,4
089,MiFish,1a9fcb6105fadfcc2f4feac8875ffef8da6db3c2,11
144,MiFish,1a9fcb6105fadfcc2f4feac8875ffef8da6db3c2,21
PCRneg,MiFish,1a9fcb6105fadfcc2f4feac8875ffef8da6db3c2,43
104,MiFish,1a9fcb6105fadfcc2f4feac8875ffef8da6db3c2,31
184,MiFish,1a9fcb6105fadfcc2f4feac8875ffef8da6db3c2,28
