"","BAJA_043","BAJA_PCRneg","BAJA_104","BAJA_144","BAJA_184","BAJA_194","BAJA_089","BAJA_139","BAJA_033"
"191a0612d8ddff9212ba6e5f412063f5e10aa0ed",8,75,75,28,51,26,48,9,0
"56b85a262e73a6e60ef0c6d33c4d23a70da33cc0",0,45,50,22,27,0,0,0,11
"4987ed61a49e7ac29ca047ce7bdb0f428c8e7a1a",0,11,0,0,0,0,0,0,0
"05beb2067aaa82c9a910070f882f49207f769988",0,33,43,0,21,0,0,0,0
"12b8e010c12abbe07dc7b898722ced54c96af983",0,2,0,0,0,0,0,0,0
"d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9",89,0,3915,14542,9,0,0,1283,154693
"ded861116231893e954603362542d98d7d0cdc7f",0,0,0,2595,0,0,0,0,0
"2b727c93db24199728cd8aa8ca70fb81bd81fe3a",0,0,0,484,0,0,0,0,0
"8332fa497851d811c4c6f5d7a22bf8bb5e99cdc3",0,4,8,8,7,3,3,3,0
"8cee41d6b1051d7e6af4e1e85dafac7a00205ac4",0,0,3,0,0,0,0,0,0
"98a1484b90fa405a624f251fae5f70b37ba73adf",14,130,124,39,69,7,50,12,0
"67cdd088bb558352e27cb2b5d229f838e8c11572",0,0,12,0,10,0,0,0,0
"31026d1c0665501b8e53beadf5a3647582359b14",11,69,56,15,34,10,18,12,0
"815465bf4218c40e60200ea518c5d7cbabd61f1c",0,6,9,0,0,0,0,3,0
"f968f4f6b237dc8b59640499d84f1b7a301ed54f",0,5,3,2,0,0,0,0,0
"a87543a86e1994e1779df181a1908c456de74d44",0,0,3,0,0,0,0,0,0
"f40cd226adc1fdf41fa19c7c2bc2a3a7579a8f74",46,0,0,0,0,0,0,0,0
"8ceb81fb647edd8813762480c4a35401e7722b88",0,7,8,3,0,0,2,0,0
"a4b64ddf9f726675e4c5122c8e5ab817eafe0668",0,0,0,0,0,0,0,117,0
"4d3109e36add08577354734af4761da885f89d23",120245,0,0,0,0,0,0,150610,0
"bfb3c407bf64f7dcd486e428be65840ddbfb1f63",37,0,0,0,0,0,0,722,0
"db9ed98662480e36319fb851b41533c9fb0b79ac",0,0,0,0,0,0,0,40,0
"9b0688c579f2d34292e7b3232d25da4f43ac94a6",75,0,0,0,0,0,0,105,0
"a5ac4ad040cf2d9c7f8821d7b70f920736b80886",0,0,0,0,0,0,0,43,0
"ea7f7fb8734a160949381badc10a971d64e3bd20",0,3,0,0,0,0,0,0,0
"20b731fb2eae474bf51e1504029ce18a72967615",0,12,11,10,6,0,7,0,0
"d3a973efbba962488ffbf56a5faaec76ad1925a8",0,14,12,6,0,0,4,0,11
"6a04c45f4e0c319143d2fdc71be51c2dbf8ee0fd",0,3,3,0,0,0,0,0,0
"2d069d6128ed64aa351b164d45bf7f6f5387f663",0,0,3,0,0,0,0,0,3
"36fcba838d74db83e82c4897c7bfb27b142deab8",4,0,28,0,0,0,0,8,0
"1a9fcb6105fadfcc2f4feac8875ffef8da6db3c2",0,43,31,21,28,0,11,0,0
"866321df1a8d1b735b8d2e4dee4c59a78b9a0497",0,2,0,0,0,0,0,0,0
"bc310ad8b886cebccd87f4a9c5000c337ca270e8",0,0,4,4,0,0,0,0,0
"2388a63c66eb39c03c474a4d0c9d7b0d99782629",0,0,0,0,11,0,0,0,0
"d35e32477ff076dab13bc2d5d6550ce21e069b19",0,12,23,5,9,0,3,2,4
"71af3877e5027588b85b33c8f9610503cdf2af74",0,0,0,0,0,0,0,0,29
"78480895f1d85a37c3c2c39c648d1a6c0cde5302",0,0,6,0,0,0,0,0,0
