sample,Replicate,Date,Site,Diver,MaxDepth,TimeofCollection_localtime,BottomExposureTime_minutes,TransportTime,Latitiude,Longitude,EcologicalNotes,ProcessingNotes,,DiversKey
BRPF-001,,9.25.2022,Lolo's Cove / Los Nidos,D1,57,11:00,68,1 hour,29 32.448,-113 34.324,krill cloud,"Diver 1 (D1) = Alexa Bryant, puck was put on diver on the main boat before dive",,Diver 1 (D1) = Alexa Bryant
BRPF-002,,9.25.2022,Lolo's Cove / Los Nidos,D2,68,11:00,57,1 hour,29 32.448,-113 34.324,krill cloud,"Diver 2 (D2) = Eric, puck was put on diver on the main boat before dive",,Diver 2 (D2) = Eric Frick
BRPF-003,,9.25.2022,Lolo's Cove / Los Nidos,D3,61,11:00,62,1 hour,29 32.448,-113 34.324,krill cloud,"Diver 3 (D3) = Annette, puck was put on diver on the main boat before dive",,Diver 3 (D3) = Annette Felix
BRPF-004,,9.25.2022,Lolo's Cove / Los Nidos,D4,72,11:00,63,1 hour,29 32.448,-113 34.324,krill cloud,"Diver 4 (D4) = Christy, puck was put on diver on the main boat before dive",,Diver 4 (D4) = Christy Semmens
BRPF-005,,,,,,,,,,,,,,Diver 5 (D5) = Nancy Schmidt
BRPF-006,,,,,,,,,,,,,,Diver 6 (D6) = Steve Burner
BRPF-007,,"FOLLOWING ORIGINAL HARD COPY OF eDNA SURVEY SHEET, WHICH HAD THE BLANK FOR THE FIRST DIVE AS BRPF - 010. NO VIALS ARE LABELED WITH THESE NUMBERS; VIALS GO FROM BRPF - 004 to BRPF - 010. ",,,,,,,,,,,,Diver 7 (D7) = Matt ?
BRPF-008,,,,,,,,,,,,,,
BRPF-009,,,,,,,,,,,,,,
BRPF-010,,9.25.2022,Lolo's Cove / Los Nidos,blank,,11:00,,1 hour,29 32.448,-113 34.324,,"Steve messed this up a bit, before every dive a puck was taken out of the plastic bag and placed on the lido deck on top of the water cooler, when dive was over the puck was put back in the plastic bag and processed, the puck was not near individuals on the lido deck, the puck was open to the air during the dive instead of in a cooler on the boat, since Steve did not realize that this was not the way he was supposed to be doing this until many days in, he kept it the same throughout the trip",,
