Sample_name,Label,Hash,nReads
MFU-BAJA_012-d1-1,MFU,21e5040375a8680ea6d455b0ea28bd335ba4d12a,2125
MFU-BAJA_060-d1-1,MFU,8d7903f3e6b28f135537408d184452f9b342e821,40
MFU-BAJA_028-d1-1,MFU,9994a741d6a3b57465020c5d1725bbefe7133577,6
MFU-BAJA_017-d1-1,MFU,d932dc5c2dd86a73b84c73a6d9cc93a10a9105ff,29
MFU-BAJA_030-d1-1,MFU,4749db1a615838f181985acec7488b7aa94a2c5d,13
MFU-BAJA_091-d1-1,MFU,461c08749136c4b89301dda77c3ad4ba3882d184,11
MFU-BAJA_121-d1-1,MFU,e7cc4dbff140e97c92e5678588a8ab74bb59e259,6
MFU-BAJA_046-d1-1,MFU,341e828f57c09e0257b58a77fa9175794dd3ff9e,3
MFU-BAJA_052-d1-1,MFU,82de1a2969cfdda38a4962024c01a17bf1410e06,4
MFU-BAJA_123-d1-1,MFU,bc5f014c9e9910edf0230383e6a0aecf6282d413,3
MFU-BAJA_089-d1-1,MFU,dca6e3dfb7be64cb09f9b1938d41a9d0ea3c3781,3
MFU-BAJA_012-d1-1,MFU,6907c9cf745c499367b530cfaf313f0f0ebd7472,10
MFU-BAJA_048-d1-1,MFU,e287ebe60cb5f18752147adaa57c66707daf567e,14
MFU-BAJA_005-d1-1,MFU,853cc673da6b2b703d601d6fb8b548754f51e034,5
MFU-BAJA_005-d1-1,MFU,c4c436c01ba286f5f3ce68326e23737dc8980333,4
MFU-BAJA_039-d1-1,MFU,72a48f432e9e484cfd2954850c5f8d35110071cc,64
MFU-BAJA_015-d1-1,MFU,cf79e0e9c5bc571901ed60ceb9d8054f763705b9,30
MFU-BAJA_075-d1-1,MFU,6e07df1afc2468a846bf97dc69322e98fa95c93c,4
MFU-BAJA_063-d1-1,MFU,d4052f71780c5f05b2c2f399764d90fa2426468d,19
MFU-BAJA_075-d1-1,MFU,7c40e121d6ef008129b12db8ce77e96b46157291,11
MFU-BAJA_063-d1-1,MFU,7c40e121d6ef008129b12db8ce77e96b46157291,13
MFU-BAJA_074-d1-1,MFU,7c40e121d6ef008129b12db8ce77e96b46157291,14
MFU-BAJA_014-d1-1,MFU,2aa7a16a52886cb25dd3cfb95fe56dc96d809f0f,26
MFU-BAJA_016-d1-1,MFU,2aa7a16a52886cb25dd3cfb95fe56dc96d809f0f,24
MFU-BAJA_029-d1-1,MFU,2aa7a16a52886cb25dd3cfb95fe56dc96d809f0f,8
MFU-BAJA_080-d1-1,MFU,27efaffcf1f1067d351fff760cda0de424469083,5
MFU-BAJA_128-d1-1,MFU,27efaffcf1f1067d351fff760cda0de424469083,13
MFU-BAJA_042-d1-1,MFU,27efaffcf1f1067d351fff760cda0de424469083,10
MFU-BAJA_053-d1-1,MFU,27efaffcf1f1067d351fff760cda0de424469083,13
MFU-BAJA_131-d1-1,MFU,27efaffcf1f1067d351fff760cda0de424469083,21
MFU-BAJA_056-d1-1,MFU,27efaffcf1f1067d351fff760cda0de424469083,14
MFU-BAJA_048-d1-1,MFU,f95072de80d0edf8579e02445893ada121b753aa,18
MFU-BAJA_052-d1-1,MFU,e1a9f0a87cd792f72a27cb73dfbcd822890ac590,29
MFU-BAJA_050-d1-1,MFU,e1a9f0a87cd792f72a27cb73dfbcd822890ac590,6
MFU-BAJA_075-d1-1,MFU,e1a9f0a87cd792f72a27cb73dfbcd822890ac590,9
MFU-BAJA_029-d1-1,MFU,e1a9f0a87cd792f72a27cb73dfbcd822890ac590,10
MFU-BAJA_057-d1-1,MFU,465dc0bc03bd96cf4181516f7d21a030ca53ec29,15
MFU-BAJA_103-d1-1,MFU,892e0faa3b642999c614b1b2257a6467ef6d3986,11
MFU-BAJA_039-d1-1,MFU,892e0faa3b642999c614b1b2257a6467ef6d3986,17
MFU-BAJA_003-d1-1,MFU,892e0faa3b642999c614b1b2257a6467ef6d3986,15
MFU-BAJA_087-d1-1,MFU,892e0faa3b642999c614b1b2257a6467ef6d3986,15
MFU-BAJA_128-d1-1,MFU,892e0faa3b642999c614b1b2257a6467ef6d3986,13
MFU-BAJA_082-d1-1,MFU,7f1647d257697565ff0cf3520171b71c0eb77d98,12
MFU-BAJA_039-d1-1,MFU,390fb06ea2c99b7d29490a7a59ae027294234bfa,12
MFU-BAJA_016-d1-1,MFU,7aff70bda9622f2c7f57d7451060ebc2b88b0400,86
MFU-BAJA_121-d1-1,MFU,ca16d821bf81e09b219efefcec4dc7f6157beea7,7
MFU-BAJA_016-d1-1,MFU,2b05fa4de8855e6150039f2df40e1b4631e3d4fc,19
MFU-BAJA_016-d1-1,MFU,e7dd293a71db95cd8ad6eaad6cc6ab4c3148ea45,342
MFU-BAJA_080-d1-1,MFU,a82d1dea7447d2f72fd3470710e29a20f12501a3,36
MFU-BAJA_052-d1-1,MFU,d87c7a186f7a7457f2d9ba32f974af5f1dd80013,77
MFU-BAJA_055-d1-1,MFU,d87c7a186f7a7457f2d9ba32f974af5f1dd80013,201
MFU-BAJA_015-d1-1,MFU,d87c7a186f7a7457f2d9ba32f974af5f1dd80013,310
MFU-BAJA_001-d1-1,MFU,d08c983ae436953ee38723109aa249b2167a27e5,14
MFU-BAJA_029-d1-1,MFU,f4e4bbfc5921ac9fe47b748e093eb136f6750fac,15
MFU-BAJA_095-d1-1,MFU,a3342a88570571ac0fffd8804c3f3fdca7d74ec8,15
MFU-BAJA_009-d1-1,MFU,a3342a88570571ac0fffd8804c3f3fdca7d74ec8,9
MFU-BAJA_121-d1-1,MFU,a3342a88570571ac0fffd8804c3f3fdca7d74ec8,33
MFU-BAJA_039-d1-1,MFU,a3342a88570571ac0fffd8804c3f3fdca7d74ec8,35
MFU-BAJA_017-d1-1,MFU,a3342a88570571ac0fffd8804c3f3fdca7d74ec8,11
