"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"001",37729,37613,37492,37337,32338,29983
"002",48037,47646,47502,47227,41059,38574
"003",14672,14541,14441,14437,10609,10329
"004",17935,17657,17496,17389,12935,12777
"005",52293,51988,51866,51805,44036,42959
"006",47951,47793,47699,47277,43842,43704
"007",34251,34063,33937,33925,25908,25573
"008",13610,13518,13434,13361,12749,12387
"009",25803,25523,25340,25268,18051,17142
"010",30021,29723,29544,29172,21616,21170
"011",21889,21701,21514,21569,9525,9249
"012",15028,14927,14839,14819,10996,10355
"013",31047,30788,30548,30604,23591,22706
"014",19665,19552,19492,19454,11884,11661
"015",25493,25333,25174,25191,12586,12269
"016",452910,450287,448359,447837,350049,337517
"017",13138,13044,12894,12924,9655,9156
"018",53818,53437,53183,53010,43789,42078
"019",22854,22751,22644,22644,22047,20558
"020",124,122,120,120,0,0
"021",25936,25869,25796,25832,20744,20497
"022",4410,4376,4371,4371,0,0
"023",8380,8338,8329,8326,6788,6788
"024",8253,8080,8056,8043,7433,7433
"025",17462,17371,17325,17301,15728,15599
"026",7967,7804,7765,7676,5492,5149
"027",19220,19111,19022,18999,14574,14477
"028",14452,14376,14318,14306,12911,12526
"029",22600,22411,22274,21990,17616,16732
"030",23599,23344,23222,23174,18850,18554
"031",26025,25849,25696,25728,20465,17613
"032",10500,10467,10430,10430,9865,9788
"033",21880,21740,21670,20489,14321,14183
"034",19823,19734,19652,19615,17565,17059
"035",31386,31300,31136,31103,27292,26450
"036",13668,13612,13559,13567,12435,12169
"037",19226,19102,19016,19013,12804,12534
"038",20083,19909,19826,19836,17038,16567
"039",499738,495930,494946,493432,412587,386626
"040",7817,7723,7703,7675,7163,7056
"041",3843,3816,3785,3795,2355,2355
"042",21775,21657,21545,21564,16627,15722
"043",18548,18384,18210,18290,16671,16232
"044",17504,17320,16749,16942,11297,10923
"045",30507,30260,29984,29996,20653,18793
"046",12302,12216,12111,12114,9439,8911
"047",26766,26613,26513,26389,16985,16653
