Sample_name,Label,Hash,nReads
DL-BAJA_139-d1-1,DL,5c6732f18b2a86737fa52a809c2157ede7dd774c,27
DL-BAJA_137-d1-1,DL,6ad1d4ecbd6e21fc8c31e042d4cd454638a26fc7,6439
DL-BAJA_149-d1-1,DL,87373c7b459e5dbeb6f9daca7efa248f8a1ed433,513
DL-BAJA_136-d1-1,DL,ed988bce15d6f372cf63118d7c1007b9f3abffab,9242
DL-BAJA_149-d1-1,DL,adac01e63947074de8074c715fcfee7a240c2d92,343
DL-BAJA_146-d1-1,DL,61cc32d8a0bb57a6dec212a424b7555117c4f751,9
DL-BAJA_142-d1-1,DL,253550ebc938f24f092aebe1df37301f9d2203f0,18
DL-BAJA_142-d1-1,DL,6cc4246b9722290467d16fb8b167e2903461554d,36
DL-BAJA_142-d1-1,DL,bfdb43d3d6910ab7c7824e07c68fde315fd13b3a,13
DL-BAJA_142-d1-1,DL,cfef88050a90268f8c01b768108448056f878770,8
DL-BAJA_144-d1-1,DL,9c73c6c9c1a95dbd88e03b55356e9653de5dd7d1,78
DL-BAJA_151-d1-1,DL,e5a523f9b7be322f5e31906124d2baeee6952835,48
DL-BAJA_138-d1-1,DL,4f9fb5470ab4e72b7bdef8c7f4dd25d3a23edea4,9
DL-BAJA_141-d1-1,DL,01276ce39f14f63d40849009724ae385bf79d99c,21
DL-BAJA_146-d1-1,DL,1294f097e952e3728cec03ec5cad5e37f9e41ce3,827
DL-BAJA_148-d1-1,DL,29d4f3b306bdb9ac71414daa3eca6298d160913f,661
