lat,lon,Site_ID
25 06.781,-110 30.441,Site 1
26 38.376,-111 25.712,Site 2
28 23.039,-112 19.017,Site 3
26 37.858,-111 25.486,Site 4
26 08.183,-111 15.768,Site 5
24 52.389,-110 36.186,Site 6
28 23.175,-112 18.704,Site 34
25 48.801,-111 15.578,Site 7
28 23.250,-112 18.051,Site 8
28 23.329,-112 18.157,Site 9
28 41.961,-112 54.223,Site 10
24 33.590,-110 23.869,Site 11
25 48.600,-111 15.600,Site 12
28 43.886,-112 57.437,Site 13
24 50.569,-110 36.317,Site 14
29 32.978,-113 32.845,Site 15
24 26.05,-109 58.02,Site 16
29 31.877,-113 35.089,Site 17
29 13.0,-113 27.0,Site 18
26 06.328,-111 15.738,Site 19
29 32.448,-113 34.324,Site 20
26 38.285,-111 25.677,Site 21
24 35.95,-110 24.02,Site 22
24 35.839,-110 24.157,Site 23
24 51.217,-110 34.704,Site 24
26 08.263,-111 15.952,Site 25
28 57.570,-113 26.270,Site 26
28 56.133,-113 22.917,Site 27
25 06.962,-110 30.639,Site 28
24 34.334,-110 24.860,Site 29
25 06.909,-110 30.626,Site 30
25 47.918,-111 14.796,Site 31
25 45.790,-111 14.649,Site 32
24 23.536,-110 18.305,Site 33
