species,commonname,scientificname,spanishname,othername,familyid,invertebratetype,rarefishtype,comments
1,Clarion Angelfish,Holacanthus clarionensis,angel de Clarion,NULL,36,0,0, 
2,Cortez Angelfish,Pomacanthus zonipectus,angel de Cortes,NULL,36,0,0, 
3,King Angelfish,Holacanthus passer,angel real,NULL,36,0,0, 
4,Glasseye Snapper (Pacific),Heteropriacanthus carolinus,catalufa  roquera,Glasseye,38,0,0,previously thought to be cirucmtropical but Pacific and Indian Oceans are separate species; Atlantic species is H. cruentatus
5,Popeye Catalufa,Pristigenys serrula,catalufo semáforo,NULL,38,0,0, 
6,Angel Blenny,Coralliozetus angelicus,trambollito angel,NULL,9,0,0, 
7,Browncheek Blenny,Acanthemblemaria crockeri,tubicola cacheton,NULL,9,0,0, 
8,Largemouth Blenny,Labrisomus xanti,chalapo,NULL,24,0,0, 
9,Lizard Triplefin,Crocodilichthys gracilis,largatija tres aletas,NULL,50,0,0, 
10,Orangethroat Pikeblenny,Chaenopsis alepidota,tubicola lucio,NULL,9,0,0, 
11,Panamic Fanged Blenny,Ophioblennius steindachneri,barracho mono,Large Banded Blenny,6,0,0, 
12,Redside Blenny,Malacoctenus hubbsi,trambollo rojoi,NULL,24,0,0, 
13,Sabertooth Blenny,Plagiotremus azaleus,diente sable,NULL,6,0,0,was P. azalea
14,Gulf Signal Blenny,Emblemaria hypacanthus,tubicola flamante,Signal Blenny,9,0,0, 
15,Barberfish,Johnrandallia nigrirostris,mariposa barbero,NULL,10,0,0, 
16,Forcepsfish,Forcipiger flavissimus,mariposa hocicona,Longnose Butterflyfish,10,0,0, 
17,Scythe Butterflyfish,Prognathodes falcifer,mariposa guadana,NULL,10,0,0, 
18,Threebanded Butterflyfish,Chaetodon humeralis,mariposa muneca,NULL,10,0,0, 
19,Barspot Cardinalfish,Apogon retrosella,cardenal de cortes,NULL,2,0,0, 
20,Guadalupe Cardinalfish,Apogon guadalupensis,cardenal mexicano,NULL,2,0,0, 
21,Pink Cardinalfish,Apogon pacificus,cardenal morro listado,NULL,2,0,0, 
