"Sample_name","Label","Hash","nReads"
"BAJA_12","MiFish","21e5040375a8680ea6d455b0ea28bd335ba4d12a",2125
"BAJA_60","MiFish","8d7903f3e6b28f135537408d184452f9b342e821",40
"BAJA_30","MiFish","4749db1a615838f181985acec7488b7aa94a2c5d",13
"BAJA_91","MiFish","461c08749136c4b89301dda77c3ad4ba3882d184",11
"BAJA_121","MiFish","e7cc4dbff140e97c92e5678588a8ab74bb59e259",6
"BAJA_46","MiFish","341e828f57c09e0257b58a77fa9175794dd3ff9e",3
"BAJA_52","MiFish","82de1a2969cfdda38a4962024c01a17bf1410e06",4
"BAJA_89","MiFish","dca6e3dfb7be64cb09f9b1938d41a9d0ea3c3781",3
"BAJA_121","MiFish","625e0e19cd0553fa20471d1e98a99e486cff10db",35
"BAJA_12","MiFish","6907c9cf745c499367b530cfaf313f0f0ebd7472",10
"BAJA_48","MiFish","e287ebe60cb5f18752147adaa57c66707daf567e",14
"BAJA_5","MiFish","853cc673da6b2b703d601d6fb8b548754f51e034",5
"BAJA_5","MiFish","c4c436c01ba286f5f3ce68326e23737dc8980333",4
"BAJA_39","MiFish","72a48f432e9e484cfd2954850c5f8d35110071cc",63
"BAJA_15","MiFish","cf79e0e9c5bc571901ed60ceb9d8054f763705b9",30
"BAJA_75","MiFish","7c40e121d6ef008129b12db8ce77e96b46157291",11
"BAJA_63","MiFish","7c40e121d6ef008129b12db8ce77e96b46157291",13
"BAJA_29","MiFish","2aa7a16a52886cb25dd3cfb95fe56dc96d809f0f",8
"BAJA_16","MiFish","2aa7a16a52886cb25dd3cfb95fe56dc96d809f0f",24
"BAJA_14","MiFish","2aa7a16a52886cb25dd3cfb95fe56dc96d809f0f",26
"BAJA_53","MiFish","27efaffcf1f1067d351fff760cda0de424469083",13
"BAJA_56","MiFish","27efaffcf1f1067d351fff760cda0de424469083",14
"BAJA_80","MiFish","27efaffcf1f1067d351fff760cda0de424469083",8
"BAJA_131","MiFish","27efaffcf1f1067d351fff760cda0de424469083",20
"BAJA_128","MiFish","27efaffcf1f1067d351fff760cda0de424469083",13
"BAJA_48","MiFish","f95072de80d0edf8579e02445893ada121b753aa",18
"BAJA_29","MiFish","e1a9f0a87cd792f72a27cb73dfbcd822890ac590",10
"BAJA_75","MiFish","e1a9f0a87cd792f72a27cb73dfbcd822890ac590",9
"BAJA_52","MiFish","e1a9f0a87cd792f72a27cb73dfbcd822890ac590",29
"BAJA_57","MiFish","465dc0bc03bd96cf4181516f7d21a030ca53ec29",15
"BAJA_3","MiFish","892e0faa3b642999c614b1b2257a6467ef6d3986",15
"BAJA_87","MiFish","892e0faa3b642999c614b1b2257a6467ef6d3986",15
"BAJA_103","MiFish","892e0faa3b642999c614b1b2257a6467ef6d3986",11
"BAJA_128","MiFish","892e0faa3b642999c614b1b2257a6467ef6d3986",13
"BAJA_39","MiFish","892e0faa3b642999c614b1b2257a6467ef6d3986",17
"BAJA_82","MiFish","7f1647d257697565ff0cf3520171b71c0eb77d98",12
"BAJA_39","MiFish","390fb06ea2c99b7d29490a7a59ae027294234bfa",12
"BAJA_16","MiFish","7aff70bda9622f2c7f57d7451060ebc2b88b0400",88
"BAJA_121","MiFish","ca16d821bf81e09b219efefcec4dc7f6157beea7",7
"BAJA_16","MiFish","2b05fa4de8855e6150039f2df40e1b4631e3d4fc",19
"BAJA_16","MiFish","e7dd293a71db95cd8ad6eaad6cc6ab4c3148ea45",342
"BAJA_80","MiFish","a82d1dea7447d2f72fd3470710e29a20f12501a3",36
"BAJA_52","MiFish","d87c7a186f7a7457f2d9ba32f974af5f1dd80013",77
"BAJA_15","MiFish","d87c7a186f7a7457f2d9ba32f974af5f1dd80013",310
"BAJA_55","MiFish","d87c7a186f7a7457f2d9ba32f974af5f1dd80013",201
"BAJA_18","MiFish","03fff27e391e67a5471ca9306980ba27068e67a9",20
"BAJA_16","MiFish","03fff27e391e67a5471ca9306980ba27068e67a9",76
"BAJA_58","MiFish","03fff27e391e67a5471ca9306980ba27068e67a9",14
"BAJA_80","MiFish","03fff27e391e67a5471ca9306980ba27068e67a9",26
"BAJA_9","MiFish","03fff27e391e67a5471ca9306980ba27068e67a9",10
"BAJA_14","MiFish","03fff27e391e67a5471ca9306980ba27068e67a9",11
"BAJA_11","MiFish","03fff27e391e67a5471ca9306980ba27068e67a9",40
"BAJA_1","MiFish","d08c983ae436953ee38723109aa249b2167a27e5",14
"BAJA_29","MiFish","f4e4bbfc5921ac9fe47b748e093eb136f6750fac",15
"BAJA_9","MiFish","a3342a88570571ac0fffd8804c3f3fdca7d74ec8",9
"BAJA_95","MiFish","a3342a88570571ac0fffd8804c3f3fdca7d74ec8",15
"BAJA_17","MiFish","a3342a88570571ac0fffd8804c3f3fdca7d74ec8",12
"BAJA_39","MiFish","a3342a88570571ac0fffd8804c3f3fdca7d74ec8",42
"BAJA_121","MiFish","a3342a88570571ac0fffd8804c3f3fdca7d74ec8",33
"BAJA_5","MiFish","1f55034a0513fa3a8115ed6d3d961d0310bd71cb",19
"BAJA_75","MiFish","1f55034a0513fa3a8115ed6d3d961d0310bd71cb",13
"BAJA_58","MiFish","1f55034a0513fa3a8115ed6d3d961d0310bd71cb",17
"BAJA_12","MiFish","a355245b8b528fe8343c72c5200ea74ab38f39fc",28
"BAJA_67","MiFish","d13481f9ba08b1f059e7361d76c8661d4f244388",40
"BAJA_75","MiFish","f3ed9eeaf7cc17b8dc1bc722f947e258ae6d1257",17
"BAJA_11","MiFish","f3ed9eeaf7cc17b8dc1bc722f947e258ae6d1257",35
"BAJA_75","MiFish","d99c2ae5e4bf38fb2c7afd6f0c5c108625ed01d1",15
"BAJA_63","MiFish","5ac8cfa5390f5d25eeebf5a762b3a58d537283f8",44
"BAJA_31","MiFish","b270e78263405e65efb482ee422f3d139d2d3db5",29
"BAJA_89","MiFish","b270e78263405e65efb482ee422f3d139d2d3db5",20
"BAJA_56","MiFish","b270e78263405e65efb482ee422f3d139d2d3db5",19
"BAJA_48","MiFish","6b28bb155e1c46d1c0aa8a38ad6302978447cd88",38
"BAJA_16","MiFish","6631fcf80ec84d761f6486102ae0fc754248402a",46
"BAJA_31","MiFish","6631fcf80ec84d761f6486102ae0fc754248402a",21
"BAJA_12","MiFish","6631fcf80ec84d761f6486102ae0fc754248402a",29
"BAJA_58","MiFish","6631fcf80ec84d761f6486102ae0fc754248402a",48
"BAJA_57","MiFish","0515962b988db48e41f7ad7e8f2e6cb79a1da5d3",19
"BAJA_27","MiFish","b273aab0628662d9f7481871abb3c26bd4affd99",19
"BAJA_11","MiFish","0a8c7e8958bf046ba65b8208feb8a8a7f3c96d79",29
"BAJA_65","MiFish","0a8c7e8958bf046ba65b8208feb8a8a7f3c96d79",12
"BAJA_70","MiFish","a453581f1f9633b4192b10baeee882dc08d8db8f",15
"BAJA_9","MiFish","a453581f1f9633b4192b10baeee882dc08d8db8f",19
"BAJA_80","MiFish","a453581f1f9633b4192b10baeee882dc08d8db8f",40
