Feature ID,Taxon,Consensus
010138b3eeb0f22de7ca1442c0f8fa09,Eukaryota;Chordata;Actinopteri;Carangiformes,0.75
01153407181c1fc5827cd67daa17b1ee,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Balistes,0.667
0169741527fd08a93b86874f62a80ed8,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Scarus,1
01a02a4a4480e020913702d4f9d056e1,Unassigned,1
02afebb71268594917fa69fbc6637889,Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,1
035904cc243fb126f342c49aff6b2e37,Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,1
057a58e642c93083e634d956134e7b59,Eukaryota;Chordata;Actinopteri;Carangiformes;Coryphaenidae;Coryphaena,0.667
0603e3f76cad356a614f11e7de595d30,Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Trichiurus,0.8
0618c09a3786f7960b017e4e73257503,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster,1
0747393d0c98c5bcf8ff1f9d1be7bba1,Unassigned,1
075cb9372d21c19cbc3f74784ec24e4f,Unassigned,1
076079b4899143b03cfa48ef9c1b5d5e,Eukaryota;Chordata;Mammalia;Carnivora;Felidae;Felis,0.9
07715557ea15c0920095bfade2f26214,Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Chromis,0.7
094acfa754208376220cded0faabfa1c,Eukaryota;Chordata;Actinopteri;Syngnathiformes;Mullidae,0.9
0a6379a65e2615c00ddce0b8b5144288,Eukaryota;Echinodermata;Asteroidea;Valvatida;Oreasteridae,1
0bc4fa92e1dccd48c876044e7f872368,Eukaryota;Chordata;Actinopteri;Chaetodontiformes;Chaetodontidae;Chaetodon,1
0c006f5b6b84275b8d5f7fdb71a0ddb4,Unassigned,1
0c0478cde7b5ffec7e87a47971ba68c8,Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Chromis,0.7
0c960e006f2f36b557087f8622a4ef55,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Balistes,0.7
0d10dea277569909092bc86f417c1d34,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Cirrhitidae,1
0dae598fe21f2dbdd6635d6f80c98177,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx,1
0efd1c8988b7ca4554d0ba9525076666,Eukaryota;Chordata;Actinopteri;Carangiformes,0.8
1109eaa4fcfa1fcef319d31d3a92e811,Eukaryota;Chordata;Actinopteri;NA;Sciaenidae,1
11e3ab67bcfebcd7ca67cf3f35f81742,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae,1
126e9e554a104911ba495ca56100c229,Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Apogon,0.9
14116ac1dc49f6b7dbdad8951c737b6b,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae,1
14770449e7c9018d2cf20dd2de0a3fd6,Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,1
15ecd24a90245d8e3be7533e8430ae1a,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus,1
16c0748a4a042ddd9dac453233c7facd,Eukaryota;Chordata;Actinopteri;Carangiformes,0.667
16c3ffedc382fa59453a4a902ffa860c,Eukaryota;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos taurus,0.9
173d9f04b57188052143b115ed904ceb,Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Stegastes,1
17f93d1ff27b066258add2f16f2ca7a2,Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf,1
18b8b7fb0e7656be6578d6237918e943,Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae,1
199f13aa8ab1ff4e60558b700dac4b54,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Scarus,1
19c693f42cb365035c714e619ba37005,Eukaryota;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa,1
19ce00bf482bd75b3f0a05fa38021936,Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus hoshinonis,0.6
1ba0242b52f7e4300b5012865a272d46,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Thalassoma,0.9
1c52f445da9909681f25d1ae882994e9,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus,1
1c6edd01a781ef8a0d104231ac62ae02,Eukaryota;Chordata;Actinopteri;Carangiformes,0.75
1d7bb5a89ca8318eea2aa2d8732a0ca0,Unassigned,1
1e5d74f18b690f43a97d535301d6b52e,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Balistes,0.7
1f77f4906e16c5b4abbda8f24eab6658,Eukaryota;Chordata;Actinopteri;Carangiformes,0.667
20e680c5c7fc1f9792b63b59cfdd5a58,Unassigned,1
21537ae453b861d814b62f525465da99,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus,0.6
238bbd0694953a962ae57d7d84df9a09,Eukaryota;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa,1
239145ee90c698424f3df7840ac849b0,Eukaryota;Chordata;Actinopteri;Carangiformes,0.667
239177ce246affbb4186031f5532e10b,Unassigned,1
23e77c696c2bb669e6a3abe3c3797ed8,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis,0.9
244f37eecedc3c50e82e0cbf8fb3b697,Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,1
24d06c590d9afa84c5a8769f0fde92f6,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Bodianus,1
2527e6955b7ce07ec5401df3751fa75f,Unassigned,1
25db731e7c8e790922d95ef9e947d58d,Eukaryota;Chordata;Actinopteri;Carangiformes,0.6
25ef8704c47d28497cc22a4c4345b1f6,Eukaryota;Chordata;Actinopteri;Carangiformes;Coryphaenidae;Coryphaena,0.571
274442cddc7b38906a9e2b9241a860fc,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus,0.6
27f43e2a6f58eaac008c1fbdd2a70238,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres,0.9
28b25ea3317eed2cc45281d566ade007,Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Chromis,1
28dd95e072f6ae39a8a611d996895522,Eukaryota;Chordata;Actinopteri;Carangiformes,0.75
291420b90e81a7b6058212ba34211e2f,Eukaryota;Chordata;Actinopteri;Carangiformes;Coryphaenidae;Coryphaena,0.667
29729f19b4cabd448bdb955f5e94ded0,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae,0.8
29e370b267f9b11514e96afc0e94e843,Eukaryota;Chordata;Actinopteri;Carangiformes,0.6
29e80a36298e889f86a7a5b3f6408ee5,Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.667
