Latin,Common,Remove?,In REEF?
Homo sapiens,Human,Yes,
Coryphaena hippurus,Mahi mahi,,
Haemulon flaviguttatum,Cortez grunt / Yellow-spotted grunt,,Yes
Stegastes rectifraenum,Cortez damselfish,,Yes
Cephalopholis colonus,Pacific creolefish,,
Sus scrofa,Wild boar,Yes,
Benthosema pterotum,Skinnycheek lanternfish / Opaline lanternfish,,
Calamus brachysomus,Pacific porgy,,Yes
Synodus lacertinus,Sauro lizardfish,,Yes
Chromis atrilobata,Scissortail damselfish,,Yes
Hemanthias signifer,Damsel bass,,
Synodus lucioceps,California lizardfish,,
Brachygenys californiensis,California salema,,
Harengula thrissina,Pacific flatiron herring,,Yes
Opisthonema libertate,Pacific thread herring,,
Kyphosus azureus,Zebra perch sea chub,,
Bos taurus,Domestic cattle,Yes,
Bodianus diplotaenia,Mexican hogfish,,Yes
Umbrina roncador,Yellowfin croaker,,
Pronotogrammus multifasciatus,Threadfin bass,,
Atherinops affinis,Topsmelt silverside,,
Lythrypnus dalli,Blue-banded goby,,Yes
Microspathodon dorsalis,Giant damselfish,,Yes
Sphoeroides annulatus,Bullseye puffer,,Yes
Halichoeres dispilus,Chameleon wrasse,,Yes
Platybelone argala,Keeltail needlefish,,
Engraulis mordax,Northern anchovy,,
Labrisomus xanti,Largemouth blenny,,Yes
Sphoeroides lobatus,Longnose puffer,,Yes
Hyporhamphus naos,Pacific silverstripe halfbeak,,
Felis catus,Domestic cat,Yes,
Cirrhitichthys oxycephalus,Coral hawkfish,,Yes
Selar crumenophthalmus,Bigeye scad,,Yes
