geozone,site name,lat,lon,Site #
34280007,Arrecife Este (Isla Las Animas),25 06.781,-110 30.441,Site 1
34140006,Asubahi's Pinnacle - Isla Ildefanso,26 38.376,-111 25.712,Site 2
31080013,Bob's Mistake (San Pedro Martir),28 23.039,-112 19.017,Site 3
34140007,Booby Rock - Isla Ildefanso,26 37.858,-111 25.486,Site 4
34150004,Cabeza de Gorila / Gorilla Head (Isla Coronado),26 08.183,-111 15.768,Site 5
34300009,Cayo Island (near Isla Lobos) - Isla San Jose,24 52.389,-110 36.186,Site 6
31080014,Chayo's Cave (San Pedro Martir),28 23.175,-112 18.704,Site 34
34200010,Do It Again / North Tip of Isla Danzante,25 48.801,-111 15.578,Site 7
31080009,El Arroyo - Biosphere Reserve Sign (San Pedro Martir),28 23.250,-112 18.051,Site 8
31080016,El Corralito (San Pedro Martir),28 23.329,-112 18.157,Site 9
21640202,El Lavadero (Las Animas),28 41.961,-112 54.223,Site 10
35060038,Ensenada Grande Mobula Dive,24 33.590,-110 23.869,Site 11
34200008,Honeymoon (Isla Danzante),25 48.600,-111 15.600,Site 12
21640108,La Corona - Isla Salsipuedes,28 43.886,-112 57.437,Site 13
34300004,La Lobera (Isla de San Francisquito),24 50.569,-110 36.317,Site 14
21540101,La Muela Angel Rock (Angel de la Guarda),29 32.978,-113 32.845,Site 15
41070001,La Reina,24 26.05,-109 58.02,Site 16
21540501,La Vela Rock,29 31.877,-113 35.089,Site 17
21540503,Las Ventana,29 13.0,-113 27.0,Site 18
34150007,Lighthouse (Isla Coronado),26 06.328,-111 15.738,Site 19
21540502,Lolo's Cove / Los Nidos Sud,29 32.448,-113 34.324,Site 20
34140003,Los Gemelos - Isla Ildelfanso,26 38.285,-111 25.677,Site 21
35060004,Los Islotes Arch,24 35.95,-110 24.02,Site 22
35060017,Los Islotes Cave,24 35.839,-110 24.157,Site 23
34300010,Parrotfish City (Reef East of Isla Coyote),24 51.217,-110 34.704,Site 24
34150006,Piedra Blanca (Isla Coronado),26 08.263,-111 15.952,Site 25
21550006,Punta Don Juan,28 57.570,-113 26.270,Site 26
21800001,Punta El Pescador (near Alacran Bay),28 56.133,-113 22.917,Site 27
34280006,Punta Norte (Isla Las Animas),25 06.962,-110 30.639,Site 28
34280004,Sea Lion Rock / La Cueva / The Cave (Isla Las Animas),25 06.909,-110 30.626,Site 30
34200005,Silhouette (East side Isla Danzante),25 47.918,-111 14.796,Site 31
34200004,Submarino (Isla Danzante),25 45.790,-111 14.649,Site 32
35060009,Swanne / Suwannee Reef / Swanee River,24 23.536,-110 18.305,Site 33
