//**familyid**//	scientificname	commonname
1	Acanthuridae	Surgeonfish - Cirujano
2	Apogonidae	Cardinalfish - Cardenal
3	Aulostomidae	Trumpetfish
4	Balistidae	Triggerfish
5	Belonidae	Needlefish
6	Blenniidae	Blenny
7	Carangidae	Jack - Jurel
8	Carcharhinidae	Requiem Shark
9	Chaenopsidae	Blenny - Pike / Tube / Flag
10	Chaetodontidae	Butterflyfish - Pez Mariposa
11	Cirrhitidae	Hawkfish - Halcón
12	Congridae	Conger
13	Dasyatidae	Stingray
14	Diodontidae	Porcupinefish
15	Echeneidae	Remora
16	Ephippidae	Spadefish
17	Gerreidae	Mojarra
18	Gobiidae	Goby - Gobio
19	Haemulidae	Grunt - Burro
20	Hemiramphidae	Halfbeak
21	Holocentridae	Squirrelfish - Candil
22	Kyphosidae	Chub - Chopa
23	Labridae	Wrasse - Señorita
24	Labrisomidae	Blenny
25	Lutjanidae	Snapper - Pargo
26	Mobulidae	Manta
27	Mullidae	Goatfish
28	Muraenidae	Moray
29	Myliobatidae	Eagle Ray
30	Narcinidae	Electric Ray
31	Nematistiidae	Roosterfish
32	Ophichthidae	Snake Eel
33	Opistognathidae	Jawfish - Bocón
34	Ostraciidae	Boxfish
35	Pleuronectidae	Right-eye Flounder
36	Pomacanthidae	Angelfish - Ángel
37	Pomacentridae	Damselfish - Jaqueta
38	Priacanthidae	Bigeye
39	Rhincodontidae	Whale Shark
40	Rhinobatidae	Guitarfish
41	Scaridae	Parrotfish - Loro
42	Sciaenidae	Drum
43	Scorpaenidae	Scorpionfish - Escorpiones
44	Serranidae	Seabass - Cabrilla Y Mero
45	Sparidae	Porgy
46	Sphyraenidae	Barracuda - Barracuda
47	Sphyrnidae	Hammerhead Shark
48	Syngnathidae	Pipefish &amp; Seahorse
49	Tetraodontidae	Puffer
50	Tripterygiidae	Triplefins
51	Urolophidae	Round Stingrays
52	Zanclidae	Moorish Idol
53	Bothidae	Lefteye Flounder
54	Heterodontidae	Bullhead Shark
55	Antennariidae	Frogfish
56	Ogcocephalidae	Batfish
57	Rhinopteridae	Cownose Ray
58	Atherinidae	Silverside
59	Clinidae	Clinid
60	Cottidae	Sculpin
61	Hexagrammidae	Greenling
62	Synodontidae	Lizardfish
63	Clupeidae	Herring
64	Microdesmidae	Wormfish
65	Mugilidae	Mullet
66	Coryphaenidae	Dolphinfish
67	Elopidae	Tenpounders
68	Batrachoididae	Toadfishes
69	Cheloniidae	Sea Turtle - Tortuga
70	Dermochelyidae	Leatherback Sea Turtle
71	Scombridae	Mackerel &amp; Tuna
72	Ginglymostomatidae	Nurse sharks
73	Malacanthidae	Tilefishes
74	Embiotocidae	Surfperch
75	Molidae	Sunfishes
76	Gobiesocidae	Clingfishes and singleslits
77	Oplegnathidae	Knifejaws
78	Triglidae	Searobins
79	Chanidae	Milkfish
80	Centrolophidae	Medusafishes
81	Gymnuridae	Butterfly rays
82	Bathymasteridae	Ronquils
83	Agonidae	Poachers
84	Exocoetidae	Flyingfishes
85	Kuhliidae	Flagtails
86	Tripterygiidae	Threefin blennies
87	Eleotrididae	Sleepers
x01	Blenny	Blenny - Trambollo Y Borracho
x02	Croaker	Croaker - Berrugatas
x03	Muraenidae and Others	Eel - Morena Y Anguila
x04	Porcupinefish and Pufferfish	Porcupinefish and Pufferfish - Botete Y Pez Erizo
x05	Dasyatidae and Others	Ray - Raya
x06	Shark	Shark - Tiburón
x08	Other	Other - Otro
88	Cynoglossidae	Tonguefish
89	Ptereleotridae	Dartfish
90	Uranoscopidae	Stargazer
91	Paralichthyidae	Sand Flounder
x09	Damselfish and Chromis	Damselfish and Chromis
92	Monacanthidae	Filefish
93	Torpedinidae	Torpedo Ray
94	Fistulariidae	Cornetfish
95	Liopropomatinae	Basslet / Seabass
96	Polyprionidae	Wreckfish
97	Albulidae	Bonefish
98	Soleidae	Soles
99	Ophidiidae	Cusk-eel
100	Ariidae	Sea Catfishes
101	Urotrygonidae	Round Stingrays
